Age,Gender,Profession,Marital_status,Education,No_of_Dependents,Personal_loan,House_loan,Partner_working,Salary,Partner_salary,Total_salary
34,Female,Salaried,Married,Post Graduate,3.0,No,No,No,97872,0.0,97872.0
52,Male,Business,Married,Post Graduate,0.0,No,No,Yes,30240,61820.0,92060.0
49,Female,Salaried,Married,Post Graduate,4.0,No,No,Yes,60504,64310.0,124814.0
44,Male,Business,Married,Graduate,1.0,No,No,Yes,102220,48510.0,150730.0
31,Male,Salaried,Married,Post Graduate,0.0,No,No,Yes,86900,53662.0,140562.0
52,Male,Business,Married,Graduate,0.0,No,No,Yes,82804,32554.0,115358.0
57,Female,Salaried,Married,Graduate,4.0,No,No,Yes,76632,58459.0,135091.0
46,Male,Salaried,Single,Graduate,1.0,No,No,No,91331,0.0,91331.0
44,Female,Salaried,Married,Graduate,4.0,Yes,No,No,108859,0.0,108859.0
38,Female,Business,Married,Graduate,0.0,No,No,Yes,81972,62080.0,144052.0
56,Female,Salaried,Single,Graduate,4.0,No,No,No,80342,0.0,80342.0
32,Female,Business,Single,Graduate,1.0,No,No,No,60037,0.0,60037.0
44,Female,Salaried,Married,Graduate,3.0,No,No,No,57967,0.0,57967.0
25,Female,Business,Married,Post Graduate,4.0,No,No,Yes,88233,81171.0,169404.0
24,Female,Salaried,Married,Graduate,3.0,Yes,No,Yes,60010,55648.0,115658.0
27,Female,Business,Single,Graduate,0.0,No,No,No,30729,0.0,30729.0
56,Male,Business,Married,Graduate,1.0,No,Yes,No,76895,0.0,76895.0
46,Female,Business,Single,Post Graduate,0.0,Yes,No,Yes,82168,63858.0,146026.0
44,Female,Salaried,Married,Post Graduate,2.0,No,Yes,Yes,47165,52161.0,99326.0
34,Male,Salaried,Single,Graduate,0.0,No,No,No,101817,0.0,101817.0
34,Female,Business,Married,Post Graduate,1.0,Yes,No,No,42189,0.0,42189.0
47,Male,Salaried,Married,Graduate,1.0,No,No,No,82019,0.0,82019.0
42,Femal,Salaried,Single,Graduate,3.0,No,No,No,58605,0.0,58605.0
50,Male,Salaried,Married,Graduate,3.0,No,No,Yes,71764,75542.0,147306.0
32,Female,Salaried,Single,Post Graduate,4.0,Yes,No,Yes,106303,55487.0,161790.0
32,Male,Salaried,Married,Graduate,0.0,No,No,Yes,92846,43753.0,136599.0
49,Male,Business,Married,Graduate,2.0,No,No,Yes,72972,60133.0,133105.0
46,Male,Business,Married,Graduate,4.0,No,No,No,34614,0.0,34614.0
46,Female,Salaried,Married,Post Graduate,3.0,No,No,No,59863,0.0,59863.0
29,Male,Salaried,Married,Graduate,1.0,No,No,No,81038,0.0,81038.0
45,Female,Salaried,Married,Post Graduate,0.0,No,Yes,Yes,65786,79492.0,145278.0
22,Male,Salaried,Married,Post Graduate,4.0,No,No,Yes,56651,30500.0,87151.0
52,Female,Salaried,Single,Graduate,3.0,No,No,Yes,42308,57454.0,99762.0
35,Female,Salaried,Married,Graduate,0.0,No,No,Yes,47086,55428.0,102514.0
36,Female,Salaried,Married,Graduate,3.0,No,No,No,36611,0.0,36611.0
50,Male,Business,Single,Post Graduate,0.0,No,No,Yes,105669,27699.0,133368.0
58,Male,Salaried,Single,Graduate,3.0,No,No,No,104986,0.0,104986.0
41,Male,Salaried,Married,Graduate,4.0,No,No,Yes,44916,41059.0,85975.0
58,Male,Business,Married,Post Graduate,0.0,No,No,Yes,109280,33616.0,142896.0
39,Female,Salaried,Married,Graduate,1.0,No,No,Yes,39806,62264.0,102070.0
46,,,Single,Graduate,,No,No,No,110765,,
59,Female,Salaried,Single,Graduate,1.0,No,No,Yes,90604,81216.0,171820.0
56,Male,Business,Married,Graduate,4.0,No,No,Yes,83324,26678.0,110002.0
25,Femal,Business,Married,Graduate,4.0,No,No,No,52772,0.0,52772.0
50,Male,Business,Married,Graduate,2.0,No,No,Yes,77235,58390.0,135625.0
47,Male,Salaried,Single,Post Graduate,1.0,No,No,Yes,80248,80249.0,160497.0
58,Female,Salaried,Married,Graduate,1.0,No,No,Yes,97271,92384.0,189655.0
26,Male,Business,Married,Post Graduate,2.0,No,No,No,114171,0.0,114171.0
31,Male,Salaried,Single,Post Graduate,0.0,No,No,Yes,34297,62026.0,96323.0
23,Male,Business,Married,Post Graduate,2.0,No,No,No,104225,0.0,104225.0
29,Male,Salaried,Married,Post Graduate,2.0,Yes,No,Yes,88758,58509.0,147267.0
40,Female,Salaried,Married,Post Graduate,3.0,No,No,Yes,100482,71892.0,172374.0
55,Male,Salaried,Single,Post Graduate,0.0,Yes,No,Yes,56375,66295.0,122670.0
25,Male,Salaried,Single,Graduate,2.0,No,No,Yes,85574,72578.0,158152.0
59,Female,Salaried,Married,Graduate,4.0,Yes,No,Yes,96276,43204.0,139480.0
34,Female,Salaried,Married,Post Graduate,2.0,No,No,Yes,80250,32754.0,113004.0
51,Female,Salaried,Single,Post Graduate,3.0,Yes,No,Yes,80906,89373.0,170279.0
43,Male,Business,Single,Graduate,1.0,No,No,No,52974,0.0,52974.0
29,Male,Salaried,Single,Post Graduate,3.0,No,No,Yes,64754,81760.0,146514.0
34,Femal,Business,Married,Graduate,2.0,No,No,Yes,73419,43963.0,117382.0
34,Male,Business,Single,Post Graduate,0.0,Yes,No,Yes,106387,26685.0,133072.0
49,Female,Salaried,Married,Post Graduate,4.0,Yes,Yes,Yes,31660,33200.0,64860.0
40,Female,Salaried,Married,Post Graduate,4.0,No,No,No,115157,0.0,115157.0
43,Male,Salaried,Married,Graduate,1.0,Yes,No,No,77942,0.0,77942.0
53,Male,Salaried,Married,Graduate,4.0,Yes,No,No,53951,0.0,53951.0
33,Female,Salaried,Single,Graduate,3.0,Yes,No,Yes,83322,53228.0,136550.0
56,Male,Salaried,Married,Post Graduate,0.0,No,No,Yes,73582,77908.0,151490.0
45,Male,Business,Married,Post Graduate,1.0,No,No,Yes,36145,30862.0,67007.0
45,Male,Business,Married,Post Graduate,0.0,No,Yes,Yes,63775,85757.0,149532.0
59,Male,Salaried,Married,Graduate,3.0,No,Yes,Yes,55805,80450.0,136255.0
22,Male,Salaried,Married,Graduate,3.0,No,Yes,Yes,76707,76518.0,153225.0
42,Male,Business,Married,Graduate,4.0,Yes,No,No,50230,0.0,50230.0
25,Female,Salaried,Married,Graduate,2.0,No,No,No,76047,0.0,76047.0
26,Male,Salaried,Married,Graduate,1.0,No,Yes,Yes,45029,51078.0,96107.0
49,Female,Salaried,Married,Graduate,1.0,Yes,No,Yes,66169,29216.0,95385.0
56,Female,Business,Married,Graduate,1.0,No,No,Yes,93286,89636.0,182922.0
50,Female,Salaried,Married,Post Graduate,0.0,No,No,Yes,41120,51944.0,93064.0
40,Male,Salaried,Married,Post Graduate,2.0,No,Yes,No,82576,0.0,82576.0
27,Male,Salaried,Married,Graduate,4.0,No,Yes,Yes,117221,55197.0,172418.0
36,,,Single,Post Graduate,,No,No,Yes,102740,,
43,Male,Salaried,Married,Graduate,1.0,No,No,Yes,92063,93479.0,185542.0
36,Female,Salaried,Married,Post Graduate,2.0,No,No,No,75418,0.0,75418.0
38,Female,Business,Married,Graduate,0.0,Yes,No,Yes,74600,80556.0,155156.0
31,Female,Salaried,Married,Graduate,4.0,No,No,Yes,87352,40423.0,127775.0
22,Male,Business,Married,Post Graduate,1.0,No,No,Yes,40568,88197.0,128765.0
34,Female,Business,Married,Graduate,1.0,No,No,No,53536,0.0,53536.0
40,Female,Salaried,Married,Post Graduate,2.0,No,No,Yes,49585,43916.0,93501.0
44,Male,Salaried,Married,Post Graduate,3.0,No,Yes,Yes,75885,46060.0,121945.0
57,Male,Salaried,Single,Graduate,2.0,No,No,No,51252,0.0,51252.0
42,Female,Salaried,Married,Post Graduate,0.0,No,No,Yes,35152,28936.0,64088.0
54,Male,Salaried,Single,Graduate,4.0,No,No,No,100391,0.0,100391.0
30,Female,Salaried,Married,Post Graduate,0.0,No,No,Yes,56590,29943.0,86533.0
57,Female,Salaried,Married,Graduate,2.0,No,Yes,Yes,83570,76965.0,160535.0
47,Male,Business,Single,Graduate,3.0,No,No,No,45367,0.0,45367.0
35,Male,Salaried,Married,Graduate,2.0,No,No,Yes,100721,77003.0,177724.0
41,Female,Business,Single,Graduate,1.0,Yes,No,Yes,65283,53343.0,118626.0
53,Male,Business,Married,Graduate,3.0,No,No,No,103348,0.0,103348.0
27,Male,Salaried,Married,Graduate,0.0,Yes,Yes,No,96713,0.0,96713.0
53,Male,Salaried,Married,Graduate,4.0,No,Yes,Yes,54000,60923.0,114923.0
30,Male,Salaried,Married,Graduate,2.0,Yes,No,No,88048,0.0,88048.0
54,Female,Salaried,Married,Graduate,4.0,No,No,Yes,62255,62363.0,124618.0
37,Male,Business,Married,Graduate,3.0,Yes,No,Yes,38767,46259.0,85026.0
50,Male,Business,Married,Graduate,3.0,No,No,No,66958,0.0,66958.0
32,Female,Salaried,Married,Graduate,1.0,No,No,No,86355,0.0,86355.0
51,Male,Business,Married,Post Graduate,1.0,No,Yes,No,47885,0.0,47885.0
35,Male,Business,Single,Graduate,4.0,No,No,Yes,84788,48681.0,133469.0
42,Male,Salaried,Married,Post Graduate,0.0,No,No,Yes,42203,87146.0,129349.0
37,Female,Business,Single,Post Graduate,1.0,Yes,No,Yes,53887,80347.0,134234.0
27,Male,Salaried,Married,Graduate,0.0,Yes,Yes,No,96713,0.0,96713.0
29,Femal,Salaried,Married,Graduate,3.0,No,No,No,88514,0.0,88514.0
39,Male,Salaried,Married,Graduate,3.0,No,No,Yes,77572,50916.0,128488.0
41,Male,Salaried,Married,Graduate,1.0,Yes,No,No,119128,0.0,119128.0
51,Male,Salaried,Married,Post Graduate,4.0,No,No,Yes,112663,29161.0,141824.0
59,Female,Business,Married,Post Graduate,3.0,Yes,No,No,53807,0.0,53807.0
53,Female,Salaried,Married,Post Graduate,4.0,No,Yes,Yes,86037,34791.0,120828.0
41,Female,Salaried,Married,Graduate,4.0,No,No,No,46985,0.0,46985.0
33,Male,Salaried,Married,Graduate,1.0,No,No,No,91483,0.0,91483.0
29,Female,Business,Married,Graduate,0.0,Yes,No,Yes,50321,67844.0,118165.0
31,Female,Salaried,Single,Graduate,0.0,No,No,Yes,90872,51981.0,142853.0
23,Female,Salaried,Married,Graduate,4.0,Yes,Yes,Yes,107871,38972.0,146843.0
24,Male,Business,Married,Graduate,0.0,No,No,No,52299,0.0,52299.0
59,Female,Business,Married,Graduate,1.0,Yes,No,Yes,116185,25245.0,141430.0
46,Male,Salaried,Single,Graduate,4.0,No,No,Yes,36596,46279.0,82875.0
47,Female,Business,Single,Graduate,1.0,No,No,No,105294,0.0,105294.0
49,Male,Business,Married,Post Graduate,0.0,No,No,Yes,107053,70447.0,177500.0
49,Male,Business,Married,Graduate,4.0,No,No,Yes,52264,56869.0,109133.0
52,Male,Salaried,Married,Graduate,4.0,No,No,Yes,86282,25667.0,111949.0
54,Male,Business,Single,Post Graduate,4.0,No,Yes,Yes,110315,61447.0,171762.0
35,Male,Salaried,Married,Post Graduate,1.0,Yes,No,Yes,63026,82644.0,145670.0
44,Female,Salaried,Married,Graduate,3.0,No,Yes,Yes,44874,50490.0,95364.0
31,Male,Salaried,Married,Graduate,1.0,No,Yes,Yes,53377,89875.0,143252.0
53,Female,Business,Married,Graduate,4.0,No,No,No,113082,0.0,113082.0
35,Female,Salaried,Married,Post Graduate,2.0,No,No,Yes,119250,43897.0,163147.0
22,Female,Business,Married,Post Graduate,3.0,Yes,No,Yes,110370,87214.0,197584.0
53,Female,Salaried,Married,Graduate,4.0,No,Yes,No,57541,0.0,57541.0
50,Female,Business,Married,Graduate,4.0,Yes,No,No,109507,0.0,109507.0
22,Female,Business,Married,Post Graduate,1.0,No,No,No,71579,0.0,71579.0
29,,,Single,Post Graduate,,No,No,Yes,100676,,
47,Female,Salaried,Married,Graduate,4.0,No,No,Yes,84189,76242.0,160431.0
34,Male,Salaried,Single,Graduate,2.0,No,No,Yes,43077,37755.0,80832.0
51,Male,Business,Married,Graduate,3.0,No,No,Yes,94243,33903.0,128146.0
33,Female,Salaried,Married,Post Graduate,4.0,Yes,No,No,71004,0.0,71004.0
55,Femal,Salaried,Married,Graduate,3.0,No,No,No,118322,0.0,118322.0
42,Male,Salaried,Single,Graduate,4.0,No,No,Yes,36149,84391.0,120540.0
25,Male,Salaried,Married,Graduate,4.0,No,No,Yes,69215,81604.0,150819.0
40,Female,Business,Single,Graduate,1.0,Yes,No,Yes,35416,65007.0,100423.0
35,Male,Salaried,Married,Graduate,2.0,No,No,No,104744,0.0,104744.0
43,Female,Salaried,Married,Post Graduate,0.0,No,No,No,89167,0.0,89167.0
41,Female,Salaried,Married,Post Graduate,2.0,Yes,No,Yes,97586,77369.0,174955.0
26,Female,Salaried,Single,Graduate,3.0,No,No,Yes,50828,71058.0,121886.0
39,Female,Salaried,Single,Post Graduate,3.0,Yes,No,Yes,30082,28205.0,58287.0
27,Female,Business,Married,Post Graduate,0.0,No,No,Yes,61321,30043.0,91364.0
22,Female,Salaried,Married,Graduate,0.0,No,No,No,40375,0.0,40375.0
44,Female,Salaried,Married,Graduate,3.0,No,No,No,103019,0.0,103019.0
32,Female,Business,Married,Graduate,2.0,No,No,Yes,49499,86099.0,135598.0
55,Male,Salaried,Married,Graduate,2.0,No,No,No,66411,0.0,66411.0
27,Male,Business,Married,Post Graduate,2.0,Yes,No,No,104503,0.0,104503.0
49,,,Married,Graduate,,Yes,No,No,74448,,
26,Male,Business,Married,Post Graduate,4.0,Yes,No,Yes,35014,28749.0,63763.0
23,Female,Salaried,Married,Graduate,1.0,Yes,Yes,No,112721,0.0,112721.0
25,Male,Salaried,Married,Post Graduate,3.0,No,No,Yes,110494,42697.0,153191.0
39,Male,Salaried,Single,Graduate,3.0,No,No,Yes,57033,69615.0,126648.0
48,Male,Salaried,Married,Graduate,2.0,No,No,Yes,90039,60189.0,150228.0
59,Male,Salaried,Married,Post Graduate,1.0,No,No,Yes,87017,43039.0,130056.0
22,Male,Salaried,Single,Post Graduate,1.0,No,Yes,No,38015,0.0,38015.0
43,Male,Business,Married,Graduate,3.0,No,Yes,No,75606,0.0,75606.0
33,Male,Salaried,Single,Graduate,1.0,No,No,Yes,34534,67756.0,102290.0
55,Male,Business,Single,Post Graduate,3.0,Yes,No,Yes,69209,35760.0,104969.0
50,Female,Salaried,Married,Post Graduate,1.0,No,No,No,113014,0.0,113014.0
28,Male,Salaried,Married,Graduate,3.0,Yes,No,Yes,78343,75825.0,154168.0
53,Male,Salaried,Married,Graduate,4.0,No,No,Yes,101449,49176.0,150625.0
53,Female,Business,Married,Post Graduate,3.0,No,No,No,77384,0.0,77384.0
35,Female,Business,Single,Graduate,0.0,No,No,Yes,68416,89195.0,157611.0
26,Male,Business,Married,Graduate,0.0,No,No,Yes,93035,29294.0,122329.0
46,Male,Salaried,Married,Post Graduate,2.0,Yes,No,No,44576,0.0,44576.0
51,Female,Salaried,Married,Graduate,2.0,No,No,Yes,40444,41608.0,82052.0
28,Female,Business,Married,Post Graduate,0.0,No,Yes,Yes,38458,93477.0,131935.0
42,Male,Salaried,Married,Graduate,3.0,No,Yes,No,118853,0.0,118853.0
39,Male,Business,Married,Post Graduate,4.0,No,No,No,93491,0.0,93491.0
59,Female,Business,Single,Graduate,4.0,Yes,No,No,34674,0.0,34674.0
51,Male,Salaried,Single,Post Graduate,2.0,No,Yes,Yes,32966,27257.0,60223.0
54,Female,Salaried,Single,Graduate,0.0,No,No,Yes,74492,56443.0,130935.0
24,Male,Business,Married,Post Graduate,3.0,No,No,No,43906,0.0,43906.0
47,Female,Salaried,Married,Graduate,2.0,No,Yes,Yes,35369,48518.0,83887.0
42,Female,Salaried,Single,Graduate,4.0,No,No,No,107251,0.0,107251.0
48,Female,Salaried,Single,Graduate,0.0,No,Yes,Yes,108043,48416.0,156459.0
48,Female,Salaried,Married,Graduate,2.0,No,No,Yes,38494,79938.0,118432.0
57,Male,Business,Married,Post Graduate,4.0,No,No,No,86555,0.0,86555.0
52,Male,Business,Married,Graduate,2.0,No,No,Yes,74249,59415.0,133664.0
54,Female,Salaried,Married,Post Graduate,0.0,No,No,Yes,31976,40955.0,72931.0
39,Female,Salaried,Married,Graduate,4.0,No,No,Yes,31760,68074.0,99834.0
34,Female,Business,Married,Graduate,2.0,Yes,No,Yes,67339,80889.0,148228.0
37,Female,Salaried,Married,Post Graduate,3.0,No,No,Yes,90946,73725.0,164671.0
54,Male,Salaried,Married,Post Graduate,1.0,No,Yes,Yes,92878,93611.0,186489.0
56,Male,Business,Married,Graduate,4.0,No,No,Yes,34323,73052.0,107375.0
57,Male,Salaried,Single,Graduate,1.0,No,No,Yes,46049,54466.0,100515.0
33,Male,Salaried,Married,Post Graduate,2.0,Yes,No,Yes,74138,47705.0,121843.0
23,Male,Salaried,Married,Graduate,1.0,No,No,Yes,98444,29310.0,127754.0
48,Female,Salaried,Married,Post Graduate,0.0,Yes,No,No,34165,0.0,34165.0
49,Male,Business,Single,Post Graduate,2.0,Yes,No,No,41367,0.0,41367.0
30,Male,Salaried,Married,Post Graduate,1.0,No,No,Yes,114073,79013.0,193086.0
35,Male,Business,Single,Graduate,1.0,No,No,Yes,90255,91068.0,181323.0
58,Male,Business,Married,Post Graduate,2.0,Yes,No,Yes,44389,79159.0,123548.0
28,Female,Salaried,Married,Post Graduate,2.0,No,No,Yes,96233,70313.0,166546.0
26,Male,Salaried,Married,Graduate,1.0,No,No,Yes,119709,90746.0,210455.0
48,Female,Salaried,Single,Graduate,1.0,No,Yes,No,53667,0.0,53667.0
48,Male,Business,Married,Graduate,1.0,No,No,Yes,56242,25539.0,81781.0
38,Male,Salaried,Single,Graduate,0.0,No,Yes,Yes,100749,29240.0,129989.0
51,Female,Salaried,Married,Graduate,2.0,No,No,No,68310,0.0,68310.0
47,Male,Salaried,Married,Graduate,0.0,Yes,No,Yes,34353,48151.0,82504.0
44,Male,Salaried,Single,Graduate,1.0,Yes,Yes,Yes,95129,34048.0,129177.0
24,Female,Salaried,Single,Graduate,0.0,No,No,No,99447,0.0,99447.0
38,Male,Salaried,Married,Graduate,2.0,No,No,No,59513,0.0,59513.0
45,Female,Business,Married,Post Graduate,2.0,No,No,Yes,40810,72096.0,112906.0
24,Female,Business,Single,Graduate,4.0,No,No,Yes,60991,44955.0,105946.0
58,Female,Business,Married,Graduate,4.0,No,No,Yes,61935,77802.0,139737.0
58,Male,Business,Married,Post Graduate,1.0,No,No,Yes,71964,32719.0,104683.0
42,Male,Business,Married,Graduate,0.0,No,No,Yes,100517,86236.0,186753.0
30,Male,Salaried,Single,Post Graduate,1.0,No,Yes,Yes,59142,87336.0,146478.0
38,Male,Salaried,Single,Post Graduate,3.0,No,No,No,40410,0.0,40410.0
43,Female,Salaried,Married,Graduate,0.0,Yes,No,No,83421,0.0,83421.0
40,Female,Salaried,Married,Graduate,1.0,Yes,No,Yes,83137,49085.0,132222.0
53,Female,Business,Married,Graduate,0.0,No,No,Yes,34344,90846.0,125190.0
49,Femal,Salaried,Married,Graduate,0.0,No,No,No,107371,0.0,107371.0
57,Female,Salaried,Married,Graduate,1.0,No,No,No,31351,0.0,31351.0
36,Male,Business,Single,Graduate,2.0,No,No,Yes,56057,52461.0,108518.0
32,Male,Business,Married,Graduate,0.0,No,No,Yes,82253,37081.0,119334.0
44,Female,Salaried,Married,Post Graduate,2.0,No,Yes,No,113138,0.0,113138.0
51,Male,Business,Married,Graduate,1.0,Yes,Yes,Yes,77566,72388.0,149954.0
52,Male,Salaried,Married,Graduate,4.0,No,No,Yes,50481,55122.0,105603.0
36,Female,Business,Married,Graduate,1.0,No,No,No,92964,0.0,92964.0
54,Female,Business,Married,Post Graduate,3.0,No,No,Yes,109221,85381.0,194602.0
33,Female,Business,Married,Post Graduate,3.0,No,No,Yes,56874,64383.0,121257.0
50,Female,Salaried,Single,Graduate,0.0,No,No,Yes,50637,50065.0,100702.0
57,Male,Salaried,Married,Graduate,4.0,No,Yes,Yes,82633,73948.0,156581.0
39,Male,Business,Single,Graduate,4.0,No,No,No,112660,0.0,112660.0
32,Female,Salaried,Married,Graduate,2.0,No,No,Yes,100668,45413.0,146081.0
52,Female,Business,Married,Graduate,2.0,No,No,Yes,75326,76245.0,151571.0
43,Female,Salaried,Married,Post Graduate,4.0,No,No,Yes,55266,63304.0,118570.0
46,Female,Business,Married,Graduate,1.0,No,No,Yes,48769,28009.0,76778.0
27,Male,Salaried,Married,Graduate,4.0,No,No,Yes,115567,38651.0,154218.0
53,Male,Salaried,Single,Graduate,2.0,Yes,No,No,108246,0.0,108246.0
25,Female,Salaried,Married,Graduate,0.0,Yes,No,No,56284,0.0,56284.0
34,Male,Salaried,Married,Graduate,4.0,No,No,No,51208,0.0,51208.0
51,Female,Salaried,Single,Graduate,0.0,Yes,Yes,No,88380,0.0,88380.0
31,Female,Salaried,Married,Graduate,3.0,Yes,No,No,100057,0.0,100057.0
26,Male,Business,Single,Graduate,1.0,No,No,Yes,66101,58290.0,124391.0
27,Female,Business,Married,Post Graduate,1.0,No,No,Yes,54249,54792.0,109041.0
54,Male,Business,Single,Graduate,3.0,No,No,Yes,78146,67261.0,145407.0
38,Female,Salaried,Married,Post Graduate,2.0,Yes,No,Yes,71966,37511.0,109477.0
50,Male,Business,Married,Post Graduate,3.0,No,No,Yes,101194,89568.0,190762.0
30,Female,Business,Married,Graduate,0.0,Yes,No,No,75598,0.0,75598.0
55,Female,Business,Married,Graduate,0.0,Yes,No,No,96847,0.0,96847.0
43,Male,Salaried,Single,Graduate,1.0,No,No,No,90230,0.0,90230.0
57,Female,Business,Single,Graduate,4.0,No,No,No,43528,0.0,43528.0
54,Male,Salaried,Married,Post Graduate,4.0,Yes,No,Yes,105067,81331.0,186398.0
40,Male,Business,Single,Graduate,3.0,No,No,No,81345,0.0,81345.0
53,Male,Salaried,Married,Graduate,4.0,No,No,Yes,58108,71375.0,129483.0
35,Female,Business,Single,Graduate,1.0,No,No,Yes,77647,40801.0,118448.0
46,Male,Salaried,Married,Graduate,3.0,No,No,No,37498,0.0,37498.0
31,Male,Business,Married,Graduate,0.0,No,No,Yes,65329,40859.0,106188.0
25,Female,Business,Single,Post Graduate,0.0,Yes,Yes,Yes,52903,76380.0,129283.0
59,Female,Salaried,Married,Graduate,3.0,No,Yes,No,115016,0.0,115016.0
43,Female,Business,Married,Graduate,1.0,No,No,Yes,54650,48912.0,103562.0
55,Male,Salaried,Married,Post Graduate,1.0,No,Yes,Yes,118020,88511.0,206531.0
59,Male,Business,Single,Graduate,2.0,No,No,Yes,91588,71212.0,162800.0
47,Female,Salaried,Married,Post Graduate,2.0,No,No,No,89002,0.0,89002.0
24,Male,Salaried,Married,Graduate,3.0,No,No,No,78297,0.0,78297.0
48,Female,Salaried,Single,Graduate,4.0,No,No,Yes,105663,41300.0,146963.0
52,Male,Salaried,Married,Graduate,3.0,No,No,Yes,90567,83994.0,174561.0
33,Female,Salaried,Married,Graduate,2.0,Yes,No,No,88315,0.0,88315.0
35,Male,Business,Married,Graduate,1.0,No,No,Yes,69547,68502.0,138049.0
43,Female,Salaried,Married,Graduate,0.0,No,No,Yes,116258,85915.0,202173.0
22,Female,Business,Single,Post Graduate,4.0,No,No,Yes,61699,34912.0,96611.0
40,Male,Salaried,Married,Graduate,2.0,No,No,Yes,70099,89848.0,159947.0
50,Male,Salaried,Married,Graduate,0.0,No,No,No,93425,0.0,93425.0
49,Female,Salaried,Married,Graduate,3.0,No,No,No,55829,0.0,55829.0
47,Male,Salaried,Married,Post Graduate,4.0,No,No,No,78910,0.0,78910.0
34,Female,Salaried,Married,Post Graduate,2.0,No,Yes,Yes,66183,63910.0,130093.0
27,Female,Business,Single,Graduate,3.0,No,No,Yes,115664,47596.0,163260.0
25,Female,Salaried,Married,Graduate,4.0,No,No,No,97500,0.0,97500.0
46,Female,Business,Married,Graduate,1.0,No,Yes,Yes,57245,49234.0,106479.0
54,Femal,Salaried,Single,Graduate,0.0,No,No,Yes,115975,72683.0,188658.0
37,Female,Business,Married,Post Graduate,1.0,No,No,Yes,58266,76692.0,134958.0
29,Female,Salaried,Single,Post Graduate,3.0,No,No,Yes,104132,61918.0,166050.0
40,Female,Salaried,Single,Graduate,1.0,No,No,Yes,97976,67381.0,165357.0
37,Female,Salaried,Single,Post Graduate,0.0,No,Yes,No,87407,0.0,87407.0
36,Female,Business,Married,Post Graduate,3.0,No,No,No,86229,0.0,86229.0
40,Female,Salaried,Married,Graduate,4.0,No,No,Yes,115675,42455.0,158130.0
22,Male,Business,Single,Graduate,1.0,No,No,Yes,104032,65048.0,169080.0
52,Male,Business,Married,Graduate,1.0,No,No,Yes,57347,62858.0,120205.0
44,,,Single,Graduate,,Yes,No,No,89857,,
59,Male,Business,Married,Graduate,0.0,Yes,No,Yes,114058,78142.0,192200.0
51,Femal,Salaried,Married,Post Graduate,3.0,No,No,No,50872,0.0,50872.0
53,Female,Salaried,Married,Graduate,2.0,Yes,No,Yes,91771,60180.0,151951.0
59,Male,Salaried,Married,Graduate,2.0,Yes,No,Yes,64680,36411.0,101091.0
31,Female,Salaried,Married,Graduate,0.0,No,No,Yes,48909,90776.0,139685.0
